Lexeme                     Token                         Position
_________________________________________________________________________
import                     EL_ID                         (0,0)
java                       EL_ID                         (0,10)
.                          PUNCT_DOT                     (0,12)
io                         EL_ID                         (0,15)
.                          PUNCT_DOT                     (0,17)
BufferedReader             EL_ID                         (0,32)
;                          PUNCT_SEMICOL                 (0,33)
import                     EL_ID                         (1,0)
java                       EL_ID                         (1,10)
.                          PUNCT_DOT                     (1,12)
io                         EL_ID                         (1,15)
.                          PUNCT_DOT                     (1,17)
FileReader                 EL_ID                         (1,28)
;                          PUNCT_SEMICOL                 (1,29)
import                     EL_ID                         (2,0)
java                       EL_ID                         (2,10)
.                          PUNCT_DOT                     (2,12)
util                       EL_ID                         (2,17)
.                          PUNCT_DOT                     (2,19)
Scanner                    EL_ID                         (2,27)
;                          PUNCT_SEMICOL                 (2,28)
/*                         ORG_COMMENT_OPEN              (4,2)
*                          OP_MULTIPLY                   (4,3)
*                          OP_MULTIPLY                   (5,0)
Created                    EL_ID                         (5,1)
by                         EL_ID                         (5,8)
Demok                      EL_ID                         (5,10)
on                         EL_ID                         (5,15)
2017                       EL_INTEGER                    (5,21)
-                          OP_PLUS                       (5,23)
01                         EL_INTEGER                    (5,26)
-                          OP_PLUS                       (5,28)
19                         EL_INTEGER                    (5,31)
.                          PUNCT_DOT                     (5,32)
*                          OP_MULTIPLY                   (6,0)
we                         EL_ID                         (6,1)
use                        EL_ID                         (6,3)
this                       EL_ID                         (6,6)
class                      W_CLASS                       (6,10)
to                         EL_ID                         (6,15)
build                      EL_ID                         (6,17)
the                        EL_ID                         (6,22)
DFA                        EL_ID                         (6,25)
*                          OP_MULTIPLY                   (7,0)
We                         EL_ID                         (7,1)
build                      EL_ID                         (7,3)
DFA                        EL_ID                         (7,8)
by                         EL_ID                         (7,11)
loading                    EL_ID                         (7,13)
a                          EL_ID                         (7,20)
set                        EL_ID                         (7,21)
of                         EL_ID                         (7,24)
instructions               EL_ID                         (7,26)
from                       EL_ID                         (7,38)
a                          EL_ID                         (7,42)
file                       EL_ID                         (7,43)
(                          ORG_OPEN_PAREN                (7,48)
xxx                        EL_ID                         (7,52)
.                          PUNCT_DOT                     (7,54)
demo                       EL_ID                         (7,59)
)                          ORG_CLOSE_PAREN               (7,60)
*                          OP_MULTIPLY                   (8,0)
To                         EL_ID                         (8,1)
construct                  EL_ID                         (8,3)
DFA                        EL_ID                         (8,15)
,                          PUNCT_COMMA                   (8,16)
we                         EL_ID                         (8,16)
pass                       EL_ID                         (8,18)
a                          EL_ID                         (8,22)
dfa                        EL_ID                         (8,23)
reference                  EL_ID                         (8,26)
to                         EL_ID                         (8,35)
the                        EL_ID                         (8,37)
constructor                EL_ID                         (8,40)
*/                         ORG_COMMENT_CLOSE             (9,0)
public                     EL_ID                         (10,0)
class                      W_CLASS                       (10,6)
LABuilder                  EL_ID                         (10,11)
{                          ORG_OPEN_CURLY                (10,20)
DFA                        EL_ID                         (11,0)
dfa                        EL_ID                         (11,6)
;                          PUNCT_SEMICOL                 (11,7)
LexicalAnalyzer            EL_ID                         (12,0)
analyzer                   EL_ID                         (12,23)
;                          PUNCT_SEMICOL                 (12,24)
String                     EL_ID                         (13,0)
instructions               EL_ID                         (13,18)
;                          PUNCT_SEMICOL                 (13,19)
boolean                    EL_ID                         (14,0)
debug                      EL_ID                         (14,12)
;                          PUNCT_SEMICOL                 (14,13)
private                    EL_ID                         (15,0)
